Code;Nom;Famille;Coefficient;PrixBaseHT;PrixBaseTTC
K10;"KRYTER10 ligne source 115°x10° - 2x10""+ 4""+1""";ENC.;1;€35,00 ;€42,00 
K12;"KRYTER12 ligne source 90°x5°- 2x12"" - 4x6,5"" - 2x1,5""";ENC.;1;€54,00 ;€64,80 
KITLEDS;Kit de 8 projecteurs Leds et accessoires:;TRAD.;41,25;€82,50 ;€99,00 
KITLEDS4;Kit de 4 projecteurs Leds au choix et accessoires:;TRAD.;42,5;€42,50 ;€51,00 
KITLEDS6;Kit de 6 projecteurs Leds et accessoires:;TRAD.;29,16667;€58,33 ;€70,00 
KITLIGHT1;Kit d'éclairage traditionel 12 circuits 32A;TRAD.;0;€0,00 ;€0,00 
KITLIGHT2;Kit d'éclairage traditionnel 24 circuits 2x32A;TRAD.;0;€0,00 ;€0,00 
KM184;Micro statique cardioïde KM184 Neumann;CAPT.;1;€15,00 ;€18,00 
KM184P;Couple de micros statiques KM184 Neumann appairés;CAPT.;35;€35,00 ;€42,00 
KMS104;Microphone statique cardioïde Neumann KMS104;CAPT.;1;€15,00 ;€18,00 
KS28;L-acoustics KS28;;1;€80,00 ;€96,00 
LA4X;L-acoustics amplificateur 4 cannaux;;1;€100,00 ;€120,00 
LA8XT;L-acoustics 8XT;;1;€25,00 ;€30,00 
LAARCSW;L-acoustics arcs 12 wide;;1;€50,00 ;€60,00 
LAK2;L-acoustics K2;;1;€120,00 ;€144,00 
LARACK2;L-acoustics la-rack2;;1;€400,00 ;€480,00 
LASER;Laser RGB;TRAD.;1;€25,00 ;€30,00 
LAX12;L-acoustics X12;;1;€40,00 ;€48,00 
LDPORT;Enceinte autonome multifonction + micro HF et accessoires;ENC.;1;€41,67 ;€50,00 
LDSYSTEM;"Système amplifié 1200W Subwoofer 18"" et 2 satellites 10"" + pieds";COMPO.;1,41667;€70,83 ;€85,00 
LED6COLOR;Projecteur compact à leds 6 couleurs;TRAD.;1;€7,00 ;€8,40 
LEDGUN;Effet d'animation multifaisceaux Led RGBW 10W;TRAD.;1;€10,00 ;€12,00 
LEDSOLO;Projecteur compact à Led RGB grand angle 30W;TRAD.;1;€7,00 ;€8,40 
LEDSPH;Kit lumineux LED 2200 lumens;;1;€190,00 ;€228,00 
LEDUV;Projecteur lumière noire à Leds;TRAD.;1;€5,00 ;€6,00 
LIVRA1;Transport colis inf 15kg;LOGI.;1;€35,00 ;€42,00 
LLC115;Processeur mono LLC115 pour MTD115;AMP.;1;€15,00 ;€18,00 
LM26;Contrôleur Audio numérique Lake LM26 2in/6out;PERI.;1;€60,00 ;€72,00 
LM44;Contrôleur Audio numérique Lake LM44 4in/4out;PERI.;1;€60,00 ;€72,00 
LPOUR;Poursuite 1200W HMI;;1;€115,00 ;€138,00 
LQ2804;Ampli Powersoft LQ2804 4x360W @ 8ohm / 4x700W @ 4ohm;;1;€20,00 ;€24,00 
LS12;"Enceinte 12"" + 1"" 400W";ENC.;0,07942;€22,00 ;€26,40 
LSYVA;L-acoustics syva;;1;€200,00 ;€240,00 
LSYVALOW;L-acoustics syva low;;1;€100,00 ;€120,00 
M32;Console digitale Midas M32;MIX.;1;€120,00 ;€144,00 
M7CL;Console de mixage numérique Yamaha M7CL 48/16;MIX.;1;€280,00 ;€336,00 
M7CL32;Console de mixage numérique Yamaha M7CL 32/16;MIX.;1;€280,00 ;€336,00 
M88;Microphone BeyerDynamic M88 TG;CAPT.;0,05814;€10,00 ;€12,00 
MANU6X;Contrôleur DMX 6 canaux + Master;TRAD.;1;€3,50 ;€4,20 
MARCO;Affaire suivie par Marc;;0;€0,00 ;€0,00 
MASTER;Vente véhicule occasion Master Court BP9445XV;;1;€6?000,00 ;€6?000,00 
MAXIM;Pupiture d'éclairage à mémoire 48 cx ADB Maxim;TRAD.;1;€50,00 ;€60,00 
MCE83;Micro statique cardioïde MCE83 Beyerdynamic;CAPT.;1;€10,00 ;€12,00 
MD421;Micro cardioïde MD421 Sennheiser;CAPT.;1;€10,00 ;€12,00 
MDG/ATM;MDG générateur brume atmosphere APS+produit+ventilateur;;1;€170,00 ;€204,00 
MDTASCAM;Lecteur MD Tascam MD350;LEC.;1;€28,00 ;€33,60 
MDX596;Lecteur Enregistreur MD.Minidisc 2U Yamaha;LEC.;1;€15,00 ;€18,00 
MG24/14;Console Yamaha MG24/14FX - 16 mono + 4 st/ 6 aux;MIX.;1;€70,00 ;€84,00 
MICROS;Kit 12 microphones de base;CAPT.;1;€70,00 ;€84,00 
MINISET;Rampe d'animation de 4 projecteurs Leds;TRAD.;0,2259;€30,00 ;€36,00 
MIXET1;Mixette Behringer 8 entrées;MIX.;1;€24,00 ;€28,80 
MKE2;Micro cravate omni Sennheiser MKE2 pour système HF;CAPT.;1;€15,00 ;€18,00 
MOA;Main d'oeuvre SAV en atelier  Taux horaire;PERS.;1;€50,00 ;€60,00 
MOAC;Main d'oeuvre mesure acoustique - Taux horaire;PERS.;1;€80,00 ;€96,00 
MODULE;Module micro XLR M/F long 10 m;MULTI.;1;€0,70 ;€0,84 
MODULE50;Module micro XLR M/F long.50m sur touret;MULTI.;1;€15,00 ;€18,00 
MODULE6M;Module micro XLR M/F long 6m;MULTI.;1;€0,40 ;€0,48 
MOE;Main d'oeuvre électronique. Taux horaire;PERS.;1;€58,00 ;€69,60 
MONTEUR;Forfait Technicien Monteur (montage et démontage);PERS.;1;€390,00 ;€468,00 
MOTEUR1T;Moteur de levage 1T CHAIN MASTER - chaîne 18m;STR.;1;€60,00 ;€72,00 
MOTEUR500;Moteur de levage donati 500 kg;STR.;1;€40,00 ;€48,00 
MSP5;Enceinte monitoring MSP5 YAMAHA;ENC.;1;€10,00 ;€12,00 
MTD115;Enceinte coax. L.ACOUSTICS MTD115 700 W;ENC.;1;€30,00 ;€36,00 
MULTI12/10;Multipaires 12 paires XLR/XLR long.10m;MULTI.;1;€4,50 ;€5,40 
MULTI12/5;Multipaires 12 paires XLR/XLR long.5m;MULTI.;1;€4,00 ;€4,80 
MULTI2/10;Double paires XLR/XLR long.10m;MULTI.;1;€1,50 ;€1,80 
MULTI2/5;Double paires XLR/XLR long.5m;MULTI.;1;€1,00 ;€1,20 
MULTI24;Multipaires 24 paires 50m sur touret + épanoui;MULTI.;1;€35,00 ;€42,00 
MULTI24/30;Multipaires 24 paires 35m sur touret + épanoui;MULTI.;1;€25,00 ;€30,00 
MULTI32;Multipaires 32 paires 50m sur touret + épanoui;MULTI.;1;€55,00 ;€66,00 
MULTI32/70;Multipaires 32 paires 70m sur touret  + épanoui;MULTI.;1;€65,00 ;€78,00 
MULTI4/10;Multipaires 4 paires XLR/XLR long.10m;MULTI.;1;€2,50 ;€3,00 
MULTI4/5;Multipaires 4 paires XLR/XLR long.5m;MULTI.;1;€2,00 ;€2,40 
MULTI8/10;Multipaires 8 paires XLR/XLR long.10m;MULTI.;1;€3,50 ;€4,20 
MULTI8/5;Multipaires 8 paires XLR/XLR long.5m;MULTI.;1;€3,00 ;€3,60 
OBS1;L'apport ultérieur d'informations peut entrainer une modification de ce devis.;OPTION.;0;€0,00 ;€0,00 
OBS2;Les remises appliquées ne sont valables que dans le cas d'un paiement comptant.;OPTION.;0;€0,00 ;€0,00 
OBS3;Condition de règlement: à réception de facture.;OPTION.;0;€0,00 ;€0,00 
OBS5;A l'acceptation de ce devis, celui-ci est à nous retourner;OPTION.;0;€0,00 ;€0,00 
OBS6;"Signé, daté, mentionné ""bon pour accord"".";OPTION.;0;€0,00 ;€0,00 
OBS7;Devis valable 1 mois à compter de la date de création.;OPTION.;0;€0,00 ;€0,00 
OBS8;Les repas de l'équipe technique sont à la charge de l'organisateur;OPTION.;0;€0,00 ;€0,00 
OBS9;Succeptible de varier en fonction du cours du change €/$ euro/dollar;;0;€0,00 ;€0,00 
P10R;Récepteur ceinture PSM1000  Shure - L8E;HF.;0,08724;€55,00 ;€66,00 
P10TE;Emetteur double PSM1000  Shure - L8E;HF.;0,09151;€180,00 ;€216,00 
P1750;Câble d'alim P17  32A M/F long 50m;ALIM.;1;€20,00 ;€24,00 
PALAN;Palan manuel 1 tonne;STR.;1;€15,00 ;€18,00 
PAR575;Projecteur PAR HPL 575;TRAD.;1;€4,00 ;€4,80 
PAR64;Projecteur PAR 64 1 kW solo;TRAD.;1;€6,00 ;€7,20 
PARTRI;Projecteur trichromique DMX 3 x 575 W HPL;TRAD.;1;€8,00 ;€9,60 
PASSCABLE;Passage de câble 150mm - section de 1m;ACC.;1;€7,00 ;€8,40 
PC1KW;Projecteur Plan Convexe 1 kW;TRAD.;1;€7,00 ;€8,40 
PCM60;Reverb Lexicon PCM60;PERI.;1;€25,00 ;€30,00 
PEC;Prise en charge Véhicule départ Caen forfait;LOGI.;1;€95,00 ;€114,00 
PENDRI;Pendrillonnage rideau L:3/ H:6m oeillets + nouettes;ACC.;1;€30,00 ;€36,00 
PHD8;2 way full range loudspeaker 200w;ENC.;1;€15,00 ;€18,00 
PIEDCREM;Pied d'enceinte 35mm en aluminium à crémaillère  2.40m;STR.;1;€8,00 ;€9,60 
PIEDDROIT;Pied de micro droit embase lourde K&M;ACC.;1;€3,00 ;€3,60 
PIEDELV270;Pied de levage 2,70m 60kg Max;STR.;8;€8,00 ;€9,60 
PIEDGRAND;Grand pied perche K&M pour microphone;ACC.;1;€3,00 ;€3,60 
PIEDMOBILTECH;Pied de levage Mobiltech 100 kg / h 4.20 m;STR.;1;€23,00 ;€27,60 
PIEDPETIT;Petit pied perche K&M pour microphone;ACC.;1;€3,00 ;€3,60 
PIEDSENN;Pied support enceinte 35 kg SENN;ACC.;1;€4,00 ;€4,80 
PIEDSMIC15;Ensemble de 15 pieds de micros noir K&M;ACC.;1;€36,00 ;€43,20 
PIEDSMICROS;Ensemble standard 12 pieds micros K&M;ACC.;1;€30,00 ;€36,00 
PIEDTABLE;Pied de micro embase ronde pour table;ACC.;1;€1,50 ;€1,80 
PIEDTO74;Pied de levage VMB TO74 220 kg - h  max 5.50 m;STR.;1;€32,00 ;€38,40 
PIEDTUB;Barre d'extension téléscopique Sub/Tête K&M;ACC.;1;€4,00 ;€4,80 
PILE1.5;Pile longue durée Alcaline R6 type bâton 1.5V pour micro HF;CON.;1;€1,20 ;€1,44 
PILE9V;Pile longue durée alcaline type 6LR61 9V;CONS.;1;€5,00 ;€6,00 
PLM10000Q;Lab Gruppen PLM10000Q 4x2300W Processing Lake;AMP.;1;€80,00 ;€96,00 
PM3500;Console de mixage  Yamaha PM3500 40/8/2   8 VCA + ALIM;MIX.;1;€285,00 ;€342,00 
PM3500/32;Console de mixage Yamaha PM3500 32+4/8/2;;1;€214,00 ;€256,80 
PM3500M;Console de mixage Yamaha PM3500 Monitor 52/18;MIX.;1;€380,00 ;€456,00 
PM4000;Console MixageYamaha PM4000 44/8st/12aux;MIX.;1;€380,00 ;€456,00 
POINTE;Automatique ROBE robin pointe;;1;€90,00 ;€108,00 
PONT250;Ensemble levage Mobiltech Pont 10 m alu 250 + 2 pieds 100 kg;STR.;1;€46,00 ;€55,20 
PONT500;Kit Pont Guillet 500 12m + 2 pieds Work 220 kg 5.5m;STR.;1;€120,00 ;€144,00 
